Run,Event,E,px,py,pz,pt,eta,phi,Q,MET,phiMET
146944,574486583,70.5627888672,-27.7891305087,-15.9232724017,-62.8753499442,32.0279,-1.42703,-2.62126,-1,40.9313,0.485705
146944,576975576,41.592630262,27.7352597207,29.8321487177,8.41035073755,40.7333,0.205034,0.821807,-1,45.2487,-2.84588
146944,576372698,75.3081882431,-19.621590586,20.9787348979,69.6146386741,28.7248,1.61844,2.32278,1,46.9002,-0.759749
146944,576379108,75.998089142,-34.2987750895,4.44341316079,67.6723613921,34.5854,1.42409,3.01276,1,37.5401,-0.0448108
146944,576878839,53.9409785858,-33.8820819617,-27.8897168941,31.3653665787,43.8843,0.664691,-2.4529,1,35.0936,0.694468
146944,578190435,216.88833768,26.2437307421,-50.5678708671,209.271825363,56.9723,2.01225,-1.09208,-1,48.5056,2.06545
146944,578306270,94.616298941,-5.06904758155,-30.9552065551,-89.2654065434,31.3675,-1.76852,-1.73311,-1,34.8744,1.68675
146944,583828722,55.5287311768,29.0112253195,-27.3012687755,-38.683566939,39.8373,-0.860746,-0.755042,1,39.7784,2.39502
146944,583668131,93.4660506908,-41.0014142336,-2.616261051,83.9519545752,41.0848,1.46287,-3.07787,-1,37.7332,0.762413
146944,584902854,50.8983291661,2.79691210067,24.9766875014,44.2602656156,25.1328,1.33137,1.45928,1,20.4306,-1.86211
146944,586081090,103.988079329,-44.2644041776,18.309695957,92.2980337583,47.9018,1.41042,2.74938,1,37.1965,-0.212803
146944,585164101,39.4239536054,-10.1513163863,37.3374282385,-7.55673093023,38.6928,-0.19408,1.83626,1,42.7662,-1.81231
146944,561461169,35.2954601652,-23.2422910199,23.0900650618,-13.1302379329,32.7621,-0.390755,2.35948,1,32.6505,-0.638653
146944,561230564,118.247693424,-12.8045300242,33.8564555214,-112.571267501,36.1969,-1.85266,1.93237,1,25.4903,-1.79211
146944,561180909,38.6591050905,35.6186304256,9.32559141531,-11.7839617306,36.8192,-0.314823,0.25607,1,41.8911,-2.93056
146944,561189871,88.8432355578,37.2730042905,-12.3701653009,-79.691978908,39.2721,-1.45663,-0.320442,1,39.3645,2.83892
146944,561933967,123.500619574,-1.26850901889,37.0833103952,117.794782764,37.105,1.87227,1.60499,1,44.1023,-1.56093
146944,562705944,68.940802119,9.0015786675,-31.6052083983,-60.6044999708,32.8621,-1.37171,-1.29333,1,30.5152,2.25761
146944,563106466,30.488760386,26.5520731654,-12.9144840029,7.59979340138,29.5262,0.254631,-0.452695,1,52.4111,2.73033
146944,563023587,60.8034680114,12.074427244,-35.6559490512,47.7484247124,37.6449,1.05903,-1.24428,1,31.7052,2.13439
146944,563117636,96.0023709063,-18.0874869313,22.0616891638,91.6655264737,28.5285,1.88377,2.25753,1,29.2803,-1.30994
146944,562337391,73.9112259698,-5.10749761469,-34.2264105228,-65.3094514715,34.6054,-1.39205,-1.71893,1,29.6243,1.46366
146944,562616183,89.1130529095,-33.8732692943,2.28423014541,-82.3924083585,33.9502,-1.61972,3.07426,1,35.4338,0.105124
146944,564221907,160.284904965,-20.1060743651,41.1976201501,153.589522636,45.8421,1.92379,2.02483,-1,44.8897,-1.14131
146944,564822267,64.8338892058,26.8562083135,17.7829867298,-56.2666107372,32.2101,-1.32434,0.584873,-1,40.7492,-2.69854
146944,563760478,64.5335126741,-7.73118654111,29.0770420772,-57.0904324128,30.0873,-1.39683,1.83067,1,36.5169,-1.11667
146944,565196864,32.747598608,-12.9149537291,-29.7861152288,-4.2878153703,32.4655,-0.131692,-1.97992,-1,34.3192,0.922431
146944,565771882,85.9941917494,40.6069738776,-6.97581505958,-75.4811335878,41.2018,-1.36587,-0.170128,-1,41.474,-3.12052
146944,565060908,36.0438838472,-11.6945956804,33.6754766078,5.32438787189,35.6483,0.148809,1.90504,-1,31.6287,-1.27901
146944,565168319,43.8584222278,28.2728493754,-17.9215357476,-28.3375119101,33.4744,-0.768601,-0.564958,-1,40.2057,2.5129
146944,565436071,85.3170422344,35.5523677462,32.9122845223,-70.2267556356,48.4478,-1.16644,0.746856,1,30.7798,-2.48861
146944,566256380,58.982042913,-15.1476421834,24.6315429589,51.4072587312,28.9165,1.3396,2.12215,-1,31.7063,-1.05515
146944,568301368,103.387948284,13.9880598239,61.0782049721,82.2365110308,62.6595,1.08601,1.34566,1,35.6522,-2.94563
146944,567990286,28.9438278493,16.6066343041,23.4709543975,-3.32686092875,28.7518,-0.115453,0.955028,1,36.7401,-2.59637
146944,568758047,53.1951048764,1.04036863551,47.6800510388,-23.5634968788,47.6914,-0.475913,1.54898,1,42.5566,-1.53944
146944,569586610,45.3948540507,-27.0288231973,10.2652507431,-34.9964134497,28.9125,-1.02263,2.77863,1,22.8809,-0.582406
146944,569670859,133.829846921,-19.8577212085,-29.3856284196,-129.04484691,35.4661,-2.0031,-2.16507,-1,46.9719,0.890041
146944,569087373,50.97707633,-1.27349856537,-39.3358906554,32.399337265,39.3565,0.750703,-1.60316,1,45.8192,1.36101
146944,569164757,47.2811285991,-42.9731942424,19.1706871489,4.61338148777,47.0554,0.0978851,2.72198,-1,27.0372,-0.181744
146944,568965231,109.394730651,5.15772688261,-40.2664172055,-101.583509633,40.5954,-1.6481,-1.4434,-1,36.3259,1.30233
146944,579540051,76.4867973878,16.3503997575,-29.1658001469,68.7912751772,33.4362,1.46901,-1.05985,-1,40.3521,1.35984
146944,579673171,42.9618138551,-29.7955065318,30.9463680616,-0.506340144887,42.9587,-0.0117864,2.33725,-1,19.1131,-0.366612
